N, 0, IBM, 10, 100, B, 0
N, 146, IBM, 10, 100, B, 146
N, 147, IBM, 10, 100, B, 147
N, 148, IBM, 10, 100, B, 148
N, 149, IBM, 10, 100, B, 149
N, 150, IBM, 10, 100, B, 150
N, 151, IBM, 10, 100, B, 151
N, 152, IBM, 10, 100, B, 152
N, 153, IBM, 10, 100, B, 153
N, 154, IBM, 10, 100, B, 154
N, 155, IBM, 10, 100, B, 155
N, 156, IBM, 10, 100, B, 156
N, 157, IBM, 10, 100, B, 157
N, 158, IBM, 10, 100, B, 158
N, 159, IBM, 10, 100, B, 159
N, 160, IBM, 10, 100, B, 160
N, 161, IBM, 10, 100, B, 161
N, 162, IBM, 10, 100, B, 162
N, 163, IBM, 10, 100, B, 163
N, 164, IBM, 10, 100, B, 164
N, 165, IBM, 10, 100, B, 165
N, 166, IBM, 10, 100, B, 166
N, 167, IBM, 10, 100, B, 167
N, 168, IBM, 10, 100, B, 168
N, 169, IBM, 10, 100, B, 169
N, 170, IBM, 10, 100, B, 170
N, 171, IBM, 10, 100, B, 171
N, 172, IBM, 10, 100, B, 172
N, 173, IBM, 10, 100, B, 173
N, 174, IBM, 10, 100, B, 174
N, 175, IBM, 10, 100, B, 175
N, 176, IBM, 10, 100, B, 176
N, 177, IBM, 10, 100, B, 177
N, 178, IBM, 10, 100, B, 178
N, 179, IBM, 10, 100, B, 179
N, 180, IBM, 10, 100, B, 180
N, 181, IBM, 10, 100, B, 181
N, 182, IBM, 10, 100, B, 182
N, 183, IBM, 10, 100, B, 183
N, 184, IBM, 10, 100, B, 184
N, 185, IBM, 10, 100, B, 185
N, 186, IBM, 10, 100, B, 186
N, 187, IBM, 10, 100, B, 187
N, 188, IBM, 10, 100, B, 188
N, 189, IBM, 10, 100, B, 189
N, 190, IBM, 10, 100, B, 190
N, 191, IBM, 10, 100, B, 191
N, 192, IBM, 10, 100, B, 192
N, 193, IBM, 10, 100, B, 193
N, 194, IBM, 10, 100, B, 194
N, 195, IBM, 10, 100, B, 195
N, 196, IBM, 10, 100, B, 196
N, 197, IBM, 10, 100, B, 197
N, 198, IBM, 10, 100, B, 198
N, 199, IBM, 10, 100, B, 199
N, 200, IBM, 10, 100, B, 200
N, 201, IBM, 10, 100, B, 201
N, 202, IBM, 10, 100, B, 202
N, 203, IBM, 10, 100, B, 203
N, 204, IBM, 10, 100, B, 204
N, 205, IBM, 10, 100, B, 205
N, 206, IBM, 10, 100, B, 206
N, 207, IBM, 10, 100, B, 207
N, 208, IBM, 10, 100, B, 208
N, 209, IBM, 10, 100, B, 209
N, 210, IBM, 10, 100, B, 210
N, 211, IBM, 10, 100, B, 211
N, 212, IBM, 10, 100, B, 212
N, 213, IBM, 10, 100, B, 213
N, 214, IBM, 10, 100, B, 214
N, 215, IBM, 10, 100, B, 215
N, 216, IBM, 10, 100, B, 216
N, 217, IBM, 10, 100, B, 217
N, 218, IBM, 10, 100, B, 218
N, 219, IBM, 10, 100, B, 219
N, 220, IBM, 10, 100, B, 220
N, 221, IBM, 10, 100, B, 221
N, 222, IBM, 10, 100, B, 222
N, 223, IBM, 10, 100, B, 223
N, 224, IBM, 10, 100, B, 224
N, 225, IBM, 10, 100, B, 225
N, 226, IBM, 10, 100, B, 226
N, 227, IBM, 10, 100, B, 227
N, 228, IBM, 10, 100, B, 228
N, 229, IBM, 10, 100, B, 229
N, 230, IBM, 10, 100, B, 230
N, 231, IBM, 10, 100, B, 231
N, 232, IBM, 10, 100, B, 232
N, 233, IBM, 10, 100, B, 233
N, 234, IBM, 10, 100, B, 234
N, 235, IBM, 10, 100, B, 235
N, 236, IBM, 10, 100, B, 236
N, 237, IBM, 10, 100, B, 237
N, 238, IBM, 10, 100, B, 238
N, 239, IBM, 10, 100, B, 239
N, 240, IBM, 10, 100, B, 240
N, 241, IBM, 10, 100, B, 241
N, 242, IBM, 10, 100, B, 242
N, 243, IBM, 10, 100, B, 243
N, 244, IBM, 10, 100, B, 244
N, 245, IBM, 10, 100, B, 245
N, 246, IBM, 10, 100, B, 246
N, 247, IBM, 10, 100, B, 247
N, 248, IBM, 10, 100, B, 248
N, 249, IBM, 10, 100, B, 249
N, 250, IBM, 10, 100, B, 250
N, 251, IBM, 10, 100, B, 251
N, 252, IBM, 10, 100, B, 252
N, 253, IBM, 10, 100, B, 253
N, 254, IBM, 10, 100, B, 254
N, 255, IBM, 10, 100, B, 255
N, 256, IBM, 10, 100, B, 256
N, 257, IBM, 10, 100, B, 257
N, 258, IBM, 10, 100, B, 258
N, 259, IBM, 10, 100, B, 259
N, 260, IBM, 10, 100, B, 260
N, 261, IBM, 10, 100, B, 261
N, 262, IBM, 10, 100, B, 262
N, 263, IBM, 10, 100, B, 263
N, 264, IBM, 10, 100, B, 264
N, 265, IBM, 10, 100, B, 265
N, 266, IBM, 10, 100, B, 266
N, 267, IBM, 10, 100, B, 267
N, 268, IBM, 10, 100, B, 268
N, 269, IBM, 10, 100, B, 269
N, 270, IBM, 10, 100, B, 270
N, 271, IBM, 10, 100, B, 271
N, 272, IBM, 10, 100, B, 272
N, 273, IBM, 10, 100, B, 273
N, 274, IBM, 10, 100, B, 274
N, 275, IBM, 10, 100, B, 275
N, 276, IBM, 10, 100, B, 276
N, 277, IBM, 10, 100, B, 277
N, 278, IBM, 10, 100, B, 278
N, 279, IBM, 10, 100, B, 279
N, 280, IBM, 10, 100, B, 280
N, 281, IBM, 10, 100, B, 281
N, 282, IBM, 10, 100, B, 282
N, 283, IBM, 10, 100, B, 283
N, 284, IBM, 10, 100, B, 284
N, 285, IBM, 10, 100, B, 285
N, 286, IBM, 10, 100, B, 286
N, 287, IBM, 10, 100, B, 287
N, 288, IBM, 10, 100, B, 288
N, 289, IBM, 10, 100, B, 289
N, 290, IBM, 10, 100, B, 290
N, 291, IBM, 10, 100, B, 291
N, 292, IBM, 10, 100, B, 292
N, 293, IBM, 10, 100, B, 293
N, 294, IBM, 10, 100, B, 294
N, 295, IBM, 10, 100, B, 295
N, 296, IBM, 10, 100, B, 296
N, 297, IBM, 10, 100, B, 297
N, 298, IBM, 10, 100, B, 298
N, 299, IBM, 10, 100, B, 299
N, 300, IBM, 10, 100, B, 300
N, 301, IBM, 10, 100, B, 301
N, 302, IBM, 10, 100, B, 302
N, 303, IBM, 10, 100, B, 303
N, 304, IBM, 10, 100, B, 304
N, 305, IBM, 10, 100, B, 305
N, 306, IBM, 10, 100, B, 306
N, 307, IBM, 10, 100, B, 307
N, 308, IBM, 10, 100, B, 308
N, 309, IBM, 10, 100, B, 309
N, 310, IBM, 10, 100, B, 310
N, 311, IBM, 10, 100, B, 311
N, 312, IBM, 10, 100, B, 312
N, 313, IBM, 10, 100, B, 313
N, 314, IBM, 10, 100, B, 314
N, 315, IBM, 10, 100, B, 315
N, 316, IBM, 10, 100, B, 316
N, 317, IBM, 10, 100, B, 317
N, 318, IBM, 10, 100, B, 318
N, 319, IBM, 10, 100, B, 319
N, 320, IBM, 10, 100, B, 320
N, 321, IBM, 10, 100, B, 321
N, 322, IBM, 10, 100, B, 322
N, 323, IBM, 10, 100, B, 323
N, 324, IBM, 10, 100, B, 324
N, 325, IBM, 10, 100, B, 325
N, 326, IBM, 10, 100, B, 326
N, 327, IBM, 10, 100, B, 327
N, 328, IBM, 10, 100, B, 328
N, 329, IBM, 10, 100, B, 329
N, 330, IBM, 10, 100, B, 330
N, 331, IBM, 10, 100, B, 331
N, 332, IBM, 10, 100, B, 332
N, 333, IBM, 10, 100, B, 333
N, 334, IBM, 10, 100, B, 334
N, 335, IBM, 10, 100, B, 335
N, 336, IBM, 10, 100, B, 336
N, 337, IBM, 10, 100, B, 337
N, 338, IBM, 10, 100, B, 338
N, 339, IBM, 10, 100, B, 339
N, 340, IBM, 10, 100, B, 340
N, 341, IBM, 10, 100, B, 341
N, 342, IBM, 10, 100, B, 342
N, 343, IBM, 10, 100, B, 343
N, 344, IBM, 10, 100, B, 344
N, 345, IBM, 10, 100, B, 345
N, 346, IBM, 10, 100, B, 346
N, 347, IBM, 10, 100, B, 347
N, 348, IBM, 10, 100, B, 348
N, 349, IBM, 10, 100, B, 349
N, 350, IBM, 10, 100, B, 350
N, 351, IBM, 10, 100, B, 351
N, 352, IBM, 10, 100, B, 352
N, 353, IBM, 10, 100, B, 353
N, 354, IBM, 10, 100, B, 354
N, 355, IBM, 10, 100, B, 355
N, 356, IBM, 10, 100, B, 356
N, 357, IBM, 10, 100, B, 357
N, 358, IBM, 10, 100, B, 358
N, 359, IBM, 10, 100, B, 359
N, 360, IBM, 10, 100, B, 360
N, 361, IBM, 10, 100, B, 361
N, 362, IBM, 10, 100, B, 362
N, 363, IBM, 10, 100, B, 363
N, 364, IBM, 10, 100, B, 364
N, 365, IBM, 10, 100, B, 365
N, 366, IBM, 10, 100, B, 366
N, 367, IBM, 10, 100, B, 367
N, 368, IBM, 10, 100, B, 368
N, 369, IBM, 10, 100, B, 369
N, 370, IBM, 10, 100, B, 370
N, 371, IBM, 10, 100, B, 371
N, 372, IBM, 10, 100, B, 372
N, 373, IBM, 10, 100, B, 373
N, 374, IBM, 10, 100, B, 374
N, 375, IBM, 10, 100, B, 375
N, 376, IBM, 10, 100, B, 376
N, 377, IBM, 10, 100, B, 377
N, 378, IBM, 10, 100, B, 378
N, 379, IBM, 10, 100, B, 379
N, 380, IBM, 10, 100, B, 380
N, 381, IBM, 10, 100, B, 381
N, 382, IBM, 10, 100, B, 382
N, 383, IBM, 10, 100, B, 383
N, 384, IBM, 10, 100, B, 384
N, 385, IBM, 10, 100, B, 385
N, 386, IBM, 10, 100, B, 386
N, 387, IBM, 10, 100, B, 387
N, 388, IBM, 10, 100, B, 388
N, 389, IBM, 10, 100, B, 389
N, 390, IBM, 10, 100, B, 390
N, 391, IBM, 10, 100, B, 391
N, 392, IBM, 10, 100, B, 392
N, 393, IBM, 10, 100, B, 393
N, 394, IBM, 10, 100, B, 394
N, 395, IBM, 10, 100, B, 395
N, 396, IBM, 10, 100, B, 396
N, 397, IBM, 10, 100, B, 397
N, 398, IBM, 10, 100, B, 398
N, 399, IBM, 10, 100, B, 399
N, 400, IBM, 10, 100, B, 400
N, 401, IBM, 10, 100, B, 401
N, 402, IBM, 10, 100, B, 402
N, 403, IBM, 10, 100, B, 403
N, 404, IBM, 10, 100, B, 404
N, 405, IBM, 10, 100, B, 405
N, 406, IBM, 10, 100, B, 406
N, 407, IBM, 10, 100, B, 407
N, 408, IBM, 10, 100, B, 408
N, 409, IBM, 10, 100, B, 409
N, 410, IBM, 10, 100, B, 410
N, 411, IBM, 10, 100, B, 411
N, 412, IBM, 10, 100, B, 412
N, 413, IBM, 10, 100, B, 413
N, 414, IBM, 10, 100, B, 414
N, 415, IBM, 10, 100, B, 415
N, 416, IBM, 10, 100, B, 416
N, 417, IBM, 10, 100, B, 417
N, 418, IBM, 10, 100, B, 418
N, 419, IBM, 10, 100, B, 419
N, 420, IBM, 10, 100, B, 420
N, 421, IBM, 10, 100, B, 421
N, 422, IBM, 10, 100, B, 422
N, 423, IBM, 10, 100, B, 423
N, 424, IBM, 10, 100, B, 424
N, 425, IBM, 10, 100, B, 425
N, 426, IBM, 10, 100, B, 426
N, 427, IBM, 10, 100, B, 427
N, 428, IBM, 10, 100, B, 428
N, 429, IBM, 10, 100, B, 429
N, 430, IBM, 10, 100, B, 430
N, 431, IBM, 10, 100, B, 431
N, 432, IBM, 10, 100, B, 432
N, 433, IBM, 10, 100, B, 433
N, 434, IBM, 10, 100, B, 434
N, 435, IBM, 10, 100, B, 435
N, 436, IBM, 10, 100, B, 436
N, 437, IBM, 10, 100, B, 437
N, 438, IBM, 10, 100, B, 438
N, 439, IBM, 10, 100, B, 439
N, 440, IBM, 10, 100, B, 440
N, 441, IBM, 10, 100, B, 441
N, 442, IBM, 10, 100, B, 442
N, 443, IBM, 10, 100, B, 443
N, 444, IBM, 10, 100, B, 444
N, 445, IBM, 10, 100, B, 445
N, 446, IBM, 10, 100, B, 446
N, 447, IBM, 10, 100, B, 447
N, 448, IBM, 10, 100, B, 448
N, 449, IBM, 10, 100, B, 449
N, 450, IBM, 10, 100, B, 450
N, 451, IBM, 10, 100, B, 451
N, 452, IBM, 10, 100, B, 452
N, 453, IBM, 10, 100, B, 453
N, 454, IBM, 10, 100, B, 454
N, 455, IBM, 10, 100, B, 455
N, 456, IBM, 10, 100, B, 456
N, 457, IBM, 10, 100, B, 457
N, 458, IBM, 10, 100, B, 458
N, 459, IBM, 10, 100, B, 459
N, 460, IBM, 10, 100, B, 460
N, 461, IBM, 10, 100, B, 461
N, 462, IBM, 10, 100, B, 462
N, 463, IBM, 10, 100, B, 463
N, 464, IBM, 10, 100, B, 464
N, 465, IBM, 10, 100, B, 465
N, 466, IBM, 10, 100, B, 466
N, 467, IBM, 10, 100, B, 467
N, 468, IBM, 10, 100, B, 468
N, 469, IBM, 10, 100, B, 469
N, 470, IBM, 10, 100, B, 470
N, 471, IBM, 10, 100, B, 471
N, 472, IBM, 10, 100, B, 472
N, 473, IBM, 10, 100, B, 473
N, 474, IBM, 10, 100, B, 474
N, 475, IBM, 10, 100, B, 475
N, 476, IBM, 10, 100, B, 476
N, 477, IBM, 10, 100, B, 477
N, 478, IBM, 10, 100, B, 478
N, 479, IBM, 10, 100, B, 479
N, 480, IBM, 10, 100, B, 480
N, 481, IBM, 10, 100, B, 481
N, 482, IBM, 10, 100, B, 482
N, 483, IBM, 10, 100, B, 483
N, 484, IBM, 10, 100, B, 484
N, 485, IBM, 10, 100, B, 485
N, 486, IBM, 10, 100, B, 486
N, 487, IBM, 10, 100, B, 487
N, 488, IBM, 10, 100, B, 488
N, 489, IBM, 10, 100, B, 489
N, 490, IBM, 10, 100, B, 490
N, 491, IBM, 10, 100, B, 491
N, 492, IBM, 10, 100, B, 492
N, 493, IBM, 10, 100, B, 493
N, 494, IBM, 10, 100, B, 494
N, 495, IBM, 10, 100, B, 495
N, 496, IBM, 10, 100, B, 496
N, 497, IBM, 10, 100, B, 497
N, 498, IBM, 10, 100, B, 498
N, 499, IBM, 10, 100, B, 499
N, 500, IBM, 10, 100, B, 500
N, 501, IBM, 10, 100, B, 501
N, 502, IBM, 10, 100, B, 502
N, 503, IBM, 10, 100, B, 503
N, 504, IBM, 10, 100, B, 504
N, 505, IBM, 10, 100, B, 505
N, 506, IBM, 10, 100, B, 506
N, 507, IBM, 10, 100, B, 507
N, 508, IBM, 10, 100, B, 508
N, 509, IBM, 10, 100, B, 509
N, 510, IBM, 10, 100, B, 510
N, 511, IBM, 10, 100, B, 511
N, 512, IBM, 10, 100, B, 512
N, 513, IBM, 10, 100, B, 513
N, 514, IBM, 10, 100, B, 514
N, 515, IBM, 10, 100, B, 515
N, 516, IBM, 10, 100, B, 516
N, 517, IBM, 10, 100, B, 517
N, 518, IBM, 10, 100, B, 518
N, 519, IBM, 10, 100, B, 519
N, 520, IBM, 10, 100, B, 520
N, 521, IBM, 10, 100, B, 521
N, 522, IBM, 10, 100, B, 522
N, 523, IBM, 10, 100, B, 523
N, 524, IBM, 10, 100, B, 524
N, 525, IBM, 10, 100, B, 525
N, 526, IBM, 10, 100, B, 526
N, 527, IBM, 10, 100, B, 527
N, 528, IBM, 10, 100, B, 528
N, 529, IBM, 10, 100, B, 529
N, 530, IBM, 10, 100, B, 530
N, 531, IBM, 10, 100, B, 531
N, 532, IBM, 10, 100, B, 532
N, 533, IBM, 10, 100, B, 533
N, 534, IBM, 10, 100, B, 534
N, 535, IBM, 10, 100, B, 535
N, 536, IBM, 10, 100, B, 536
N, 537, IBM, 10, 100, B, 537
N, 538, IBM, 10, 100, B, 538
N, 539, IBM, 10, 100, B, 539
N, 540, IBM, 10, 100, B, 540
N, 541, IBM, 10, 100, B, 541
N, 542, IBM, 10, 100, B, 542
N, 543, IBM, 10, 100, B, 543
N, 544, IBM, 10, 100, B, 544
N, 545, IBM, 10, 100, B, 545
N, 546, IBM, 10, 100, B, 546
N, 547, IBM, 10, 100, B, 547
N, 548, IBM, 10, 100, B, 548
N, 549, IBM, 10, 100, B, 549
N, 550, IBM, 10, 100, B, 550
N, 551, IBM, 10, 100, B, 551
N, 552, IBM, 10, 100, B, 552
N, 553, IBM, 10, 100, B, 553
N, 554, IBM, 10, 100, B, 554
N, 555, IBM, 10, 100, B, 555
N, 556, IBM, 10, 100, B, 556
N, 557, IBM, 10, 100, B, 557
N, 558, IBM, 10, 100, B, 558
N, 559, IBM, 10, 100, B, 559
N, 560, IBM, 10, 100, B, 560
N, 561, IBM, 10, 100, B, 561
N, 562, IBM, 10, 100, B, 562
N, 563, IBM, 10, 100, B, 563
N, 564, IBM, 10, 100, B, 564
N, 565, IBM, 10, 100, B, 565
N, 566, IBM, 10, 100, B, 566
N, 567, IBM, 10, 100, B, 567
N, 568, IBM, 10, 100, B, 568
N, 569, IBM, 10, 100, B, 569
N, 570, IBM, 10, 100, B, 570
N, 571, IBM, 10, 100, B, 571
N, 572, IBM, 10, 100, B, 572
N, 573, IBM, 10, 100, B, 573
N, 574, IBM, 10, 100, B, 574
N, 575, IBM, 10, 100, B, 575
N, 576, IBM, 10, 100, B, 576
N, 577, IBM, 10, 100, B, 577
N, 578, IBM, 10, 100, B, 578
N, 579, IBM, 10, 100, B, 579
N, 580, IBM, 10, 100, B, 580
N, 581, IBM, 10, 100, B, 581
N, 582, IBM, 10, 100, B, 582
N, 583, IBM, 10, 100, B, 583
N, 584, IBM, 10, 100, B, 584
N, 585, IBM, 10, 100, B, 585
N, 586, IBM, 10, 100, B, 586
N, 587, IBM, 10, 100, B, 587
N, 588, IBM, 10, 100, B, 588
N, 589, IBM, 10, 100, B, 589
N, 590, IBM, 10, 100, B, 590
N, 591, IBM, 10, 100, B, 591
N, 592, IBM, 10, 100, B, 592
N, 593, IBM, 10, 100, B, 593
N, 594, IBM, 10, 100, B, 594
N, 595, IBM, 10, 100, B, 595
N, 596, IBM, 10, 100, B, 596
N, 597, IBM, 10, 100, B, 597
N, 598, IBM, 10, 100, B, 598
N, 599, IBM, 10, 100, B, 599
N, 600, IBM, 10, 100, B, 600
N, 601, IBM, 10, 100, B, 601
N, 602, IBM, 10, 100, B, 602
N, 603, IBM, 10, 100, B, 603
N, 604, IBM, 10, 100, B, 604
N, 605, IBM, 10, 100, B, 605
N, 606, IBM, 10, 100, B, 606
N, 607, IBM, 10, 100, B, 607
N, 608, IBM, 10, 100, B, 608
N, 609, IBM, 10, 100, B, 609
N, 610, IBM, 10, 100, B, 610
N, 611, IBM, 10, 100, B, 611
N, 612, IBM, 10, 100, B, 612
N, 613, IBM, 10, 100, B, 613
N, 614, IBM, 10, 100, B, 614
N, 615, IBM, 10, 100, B, 615
N, 616, IBM, 10, 100, B, 616
N, 617, IBM, 10, 100, B, 617
N, 618, IBM, 10, 100, B, 618
N, 619, IBM, 10, 100, B, 619
N, 620, IBM, 10, 100, B, 620
N, 621, IBM, 10, 100, B, 621
N, 622, IBM, 10, 100, B, 622
N, 623, IBM, 10, 100, B, 623
N, 624, IBM, 10, 100, B, 624
N, 625, IBM, 10, 100, B, 625
N, 626, IBM, 10, 100, B, 626
N, 627, IBM, 10, 100, B, 627
N, 628, IBM, 10, 100, B, 628
N, 629, IBM, 10, 100, B, 629
N, 630, IBM, 10, 100, B, 630
N, 631, IBM, 10, 100, B, 631
N, 632, IBM, 10, 100, B, 632
N, 633, IBM, 10, 100, B, 633
N, 634, IBM, 10, 100, B, 634
N, 635, IBM, 10, 100, B, 635
N, 636, IBM, 10, 100, B, 636
N, 637, IBM, 10, 100, B, 637
N, 638, IBM, 10, 100, B, 638
N, 639, IBM, 10, 100, B, 639
N, 640, IBM, 10, 100, B, 640
N, 641, IBM, 10, 100, B, 641
N, 642, IBM, 10, 100, B, 642
N, 643, IBM, 10, 100, B, 643
N, 644, IBM, 10, 100, B, 644
N, 645, IBM, 10, 100, B, 645
N, 646, IBM, 10, 100, B, 646
N, 647, IBM, 10, 100, B, 647
N, 648, IBM, 10, 100, B, 648
N, 649, IBM, 10, 100, B, 649
N, 650, IBM, 10, 100, B, 650
N, 651, IBM, 10, 100, B, 651
N, 652, IBM, 10, 100, B, 652
N, 653, IBM, 10, 100, B, 653
N, 654, IBM, 10, 100, B, 654
N, 655, IBM, 10, 100, B, 655
N, 656, IBM, 10, 100, B, 656
N, 657, IBM, 10, 100, B, 657
N, 658, IBM, 10, 100, B, 658
N, 659, IBM, 10, 100, B, 659
N, 660, IBM, 10, 100, B, 660
N, 661, IBM, 10, 100, B, 661
N, 662, IBM, 10, 100, B, 662
N, 663, IBM, 10, 100, B, 663
N, 664, IBM, 10, 100, B, 664
N, 665, IBM, 10, 100, B, 665
N, 666, IBM, 10, 100, B, 666
N, 667, IBM, 10, 100, B, 667
N, 668, IBM, 10, 100, B, 668
N, 669, IBM, 10, 100, B, 669
N, 670, IBM, 10, 100, B, 670
N, 671, IBM, 10, 100, B, 671
N, 672, IBM, 10, 100, B, 672
N, 673, IBM, 10, 100, B, 673
N, 674, IBM, 10, 100, B, 674
N, 675, IBM, 10, 100, B, 675
N, 676, IBM, 10, 100, B, 676
N, 677, IBM, 10, 100, B, 677
N, 678, IBM, 10, 100, B, 678
N, 679, IBM, 10, 100, B, 679
N, 680, IBM, 10, 100, B, 680
N, 681, IBM, 10, 100, B, 681
N, 682, IBM, 10, 100, B, 682
N, 683, IBM, 10, 100, B, 683
N, 684, IBM, 10, 100, B, 684
N, 685, IBM, 10, 100, B, 685
N, 686, IBM, 10, 100, B, 686
N, 687, IBM, 10, 100, B, 687
N, 688, IBM, 10, 100, B, 688
N, 689, IBM, 10, 100, B, 689
N, 690, IBM, 10, 100, B, 690
N, 691, IBM, 10, 100, B, 691
N, 692, IBM, 10, 100, B, 692
N, 693, IBM, 10, 100, B, 693
N, 694, IBM, 10, 100, B, 694
N, 695, IBM, 10, 100, B, 695
N, 696, IBM, 10, 100, B, 696
N, 697, IBM, 10, 100, B, 697
N, 698, IBM, 10, 100, B, 698
